,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
0, Lexus LX 570 Super Sport 2021,11600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Xăng
1, Lexus RX 350 L 2021,4600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,Xăng
2, Lexus RX 350 F Sport 2021,4590000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,3.000km,HàNội,Sốtựđộng,Xăng
3, Hyundai Tucson 1.6 Đặc biệt 2019,879000000,2019,SUV,Đãquasửdụng,Trongnước,29.000km,HàNội,Sốtựđộng,Xăng
4, Mercedes-Benz E250 2018,1750000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
5, Mercedes-Benz C 250 Exclusive 2017,1179000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
6, Lexus LX 570 Super Sport 2020,10999000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,
7, Porsche Panamera 4 Executive 2019,6200000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,11.700km,Tp.HCM,Sốtựđộng,Xăng
8, Mercedes-Maybach S 400 4MATIC 2017,4899000000,2017,Coupe,Đãquasửdụng,Nhậpkhẩu,27.000km,HàNội,Sốtựđộng,Xăng
9, Honda Civic 1.5 RS 2020,810000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Xăng
10, Hyundai Tucson 2.0 Diesel Đặc biệt 2020,950000000,2020,SUV,Đãquasửdụng,Trongnước,19.000km,HàNội,Sốtựđộng,Diesel
11, Honda City 1.5 CVT 2019,475000000,2019,Sedan,Đãquasửdụng,Trongnước,31.000km,Tp.HCM,Sốtựđộng,Xăng
12, Suzuki Swift GLX 1.2 CVT 2019,505000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
13, Lexus LX 570 Super Sport 2021,11600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Xăng
14, Lexus RX 350 L 2021,4600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,Xăng
15, Lexus RX 350 F Sport 2021,4590000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,3.000km,HàNội,Sốtựđộng,Xăng
16, Hyundai Tucson 1.6 Đặc biệt 2019,879000000,2019,SUV,Đãquasửdụng,Trongnước,29.000km,HàNội,Sốtựđộng,Xăng
17, Mercedes-Benz E250 2018,1750000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
18, Mercedes-Benz C 250 Exclusive 2017,1179000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
19, Lexus LX 570 Super Sport 2020,10999000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,
20, Porsche Panamera 4 Executive 2019,6200000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,11.700km,Tp.HCM,Sốtựđộng,Xăng
21, Mercedes-Maybach S 400 4MATIC 2017,4899000000,2017,Coupe,Đãquasửdụng,Nhậpkhẩu,27.000km,HàNội,Sốtựđộng,Xăng
22, Honda Civic 1.5 RS 2020,810000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Xăng
23, Hyundai Tucson 2.0 Diesel Đặc biệt 2020,950000000,2020,SUV,Đãquasửdụng,Trongnước,19.000km,HàNội,Sốtựđộng,Diesel
24, Honda City 1.5 CVT 2019,475000000,2019,Sedan,Đãquasửdụng,Trongnước,31.000km,Tp.HCM,Sốtựđộng,Xăng
25, Suzuki Swift GLX 1.2 CVT 2019,505000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
26, Mercedes-Benz E250 AMG 2014,939000000,2014,Sedan,Đãquasửdụng,Trongnước,80.467km,HàNội,Sốtựđộng,Xăng
27, Toyota Land Cruiser Prado 2010,885000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,90.000km,HảiDương,Sốtựđộng,Xăng
28, Suzuki Vitara 1.6AT 2016,545000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,55.000km,HàNội,Sốtựđộng,Xăng
29, Toyota Vios 1.5E MT 2016,365000000,2016,Sedan,Đãquasửdụng,Trongnước,,HảiPhòng,Sốtay,Xăng
30, Mercedes-Benz E300 AMG V1 2021,2839000000,2021,Sedan,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,Xăng
31, Hyundai Grand i10 Hatchback 1.2 AT 2017,340000000,2017,Hatchback,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
32, Toyota Yaris 1.3G 2016,485000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
33, Ford Ranger Wildtrak 2.0L 4x2 AT 2019,729000000,2019,Pick-upTruck,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
34, Toyota Vios 1.5E MT 2010,195000000,2010,Sedan,Đãquasửdụng,Trongnước,112.000km,HảiPhòng,Sốtay,Xăng
35, Lexus RX 350 F Sport 2019,3850000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
36, Hyundai Santa Fe 2.4L (Máy xăng) đặc biệt 2013,655000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
37, Toyota Vios 1.5E MT (3 túi khí) 2018,418000000,2018,Sedan,Đãquasửdụng,Trongnước,28.000km,HàNội,Sốtay,Xăng
38, Toyota Vios 1.5E MT 2016,348000000,2016,Sedan,Đãquasửdụng,Trongnước,56.000km,HảiPhòng,Sốtay,Xăng
39, Mazda CX-5 2.0L AT FWD 2018,795000000,2018,SUV,Đãquasửdụng,Trongnước,48.000km,HàNội,Sốtựđộng,Xăng
40, Honda City 1.5 L 2021,565000000,2021,Sedan,Đãquasửdụng,Trongnước,14.000km,BìnhDương,Sốtựđộng,Xăng
41, Kia Rio 1.4 AT Hatchback 2015,425000000,2015,,Đãquasửdụng,Nhậpkhẩu,67.000km,HàNội,Sốtựđộng,Xăng
